url,name,image_bias,freedom_rank,factual,country,bias
https://stream.org/,The Stream,MBFCMixed.png,USA 45/180,MIXED,USA,CONSPIRACY-PSEUDOSCIENCE
https://www.aps.org/,American Physical Society (APS),MBFCVeryhigh.png,,VERY HIGH,,PRO-SCIENCE
http://www.theskimm.com/,The Skimm,MBFCHigh.png,USA 45/180,HIGH,USA,LEFT-CENTER BIAS
https://www.austindailyherald.com/,Austin Daily Herald (Minnesota),MBFCHigh.png,USA 45/180,HIGH,USA,LEFT-CENTER BIAS
https://indypendent.org,The Indypendent,MBFCHigh.png,USA 45/180,HIGH,USA,LEFT BIAS
https://hillarydaily.com/,Hillary Daily,MBFCMixed.png,,MIXED,,RIGHT BIAS
https://www.kcra.com/,KCRA 3,MBFCHigh.png,USA 45/180,HIGH,USA,LEAST BIASED
https://thefreethoughtproject.com/,Free Thought Project,MBFCLow.png,USA 45/180,LOW,USA,CONSPIRACY-PSEUDOSCIENCE
https://bentontimes.com/,Benton Times,MBFCMixed.png,,,,QUESTIONABLE SOURCE
http://anotherdayintheempire.com/,Another Day in the Empire,MBFCMixed.png,,MIXED,,CONSPIRACY-PSEUDOSCIENCE
http://www.disclose.tv/,Disclose TV,MBFCLow.png,Germany 11/180,LOW,Germany,CONSPIRACY-PSEUDOSCIENCE
https://www.thecanary.co/,The Canary (UK),,UK 35/180,MOSTLY FACTUAL,United Kingdom,LEFT BIAS
https://larouchepac.com/,LaRouche PAC,MBFCLow.png,USA 45/180,LOW,USA,CONSPIRACY-PSEUDOSCIENCE
http://bluevision.news/,BlueVision.News,MBFCLow.png,,,,QUESTIONABLE SOURCE
https://africacheck.org,Africa Check,MBFCVeryhigh.png,HIGH,VERY,South Africa,LEAST BIASED
http://www.soas.ac.uk/lmei/meil/,The Middle East in London,MBFCHigh.png,,HIGH,,LEAST BIASED
https://www.conservativedailynews.com/,Conservative Daily News,MBFCMixed.png,,,,QUESTIONABLE SOURCE
https://climatism.blog,Climatism,MBFCLow.png,Australia 26/180,LOW,Australia,CONSPIRACY-PSEUDOSCIENCE
http://www.cosmopolitan.com/,Cosmopolitan,MBFCMixed.png,USA 45/180,MIXED,USA,LEFT BIAS
https://www.weforum.org/,World Economic Forum,MBFCHigh.png,,HIGH,,LEAST BIASED
http://usanewstoday.org/,USANewsToday,MBFCLow.png,,,,QUESTIONABLE SOURCE
https://fas.org/,Federation of American Scientists (FAS),MBFCHigh.png,USA 45/180,HIGH,USA,PRO-SCIENCE
https://northoctimes.com/,North OC Times,MBFCMixed.png,,,,QUESTIONABLE SOURCE
https://wakeup-world.com/,Wake Up World,MBFCLow.png,,LOW,,CONSPIRACY-PSEUDOSCIENCE
http://www.csicop.org/,Committee for Skeptical Inquiry,MBFCVeryhigh.png,,VERY HIGH,,PRO-SCIENCE
http://reporterslab.org/,Reporters Lab,MBFCVeryhigh.png,,VERY HIGH,,LEAST BIASED
https://redyouth.org/,Red Youth,MBFCMixed.png,,MIXED,,LEFT BIAS
https://tittletattle365.com/,TittleTattle365,,,,,SATIRE
http://gotnews.com/,GotNews,MBFCLow.png,,,,QUESTIONABLE SOURCE
https://stocknewsusa.com,Stock News USA,MBFCHigh.png,,HIGH,,LEAST BIASED
,Pseudoscience Dictionary: Autism Cures,,,,,Autism Cures
http://usanews4u.us/,USA News for You,MBFCLow.png,,,,QUESTIONABLE SOURCE
https://www.nhregister.com/,New Haven Register,MBFCHigh.png,USA 45/180,HIGH,USA,LEFT-CENTER BIAS
http://angusreid.org,Angus Reid Institute,MBFCHigh.png,Canada 16/180,HIGH,Canada,RIGHT-CENTER BIAS
https://wn.com/,World News,MBFCMostlyFactual.png,USA 45/180,MOSTLY FACTUAL,USA,LEAST BIASED
http://www.tulsaworld.com/,Tulsa World,MBFCHigh.png,USA 45/180,HIGH,,RIGHT-CENTER BIAS
https://www.inquisitr.com/news/,Inquisitr,MBFCMixed.png,USA 48/180,MIXED,USA,LEFT-CENTER BIAS
http://www.conflict-news.com/,Conflict News,MBFCHigh.png,,HIGH,,LEAST BIASED
https://redwhiteandright.com/,"Red, White and Right",MBFCLow.png,,,,QUESTIONABLE SOURCE
http://www.capoliticalreview.com/,California Political Review,MBFCMostlyFactual.png,USA 45/180,MOSTLY FACTUAL,USA,RIGHT-CENTER BIAS
https://gulfnews.com/,Gulf News,MBFCMixed.png,,,,QUESTIONABLE SOURCE
https://www.meforum.org,Middle East Forum,MBFCLow.png,,,,QUESTIONABLE SOURCE
https://panampost.com/,PanAm Post,MBFCMixed.png,USA 45/180,HIGH,USA,RIGHT BIAS
https://thedispatch.com/,The Dispatch,MBFCHigh.png,USA 45/180,HIGH,USA,RIGHT-CENTER BIAS
http://samuel-warde.com/,Liberals Unite (Samuel Warde),MBFCMixed.png,,MIXED,,LEFT BIAS
https://southbayleader.com/,South Bay Leader,MBFCMixed.png,,,,QUESTIONABLE SOURCE
https://www.3ccorp.net/,3CCorp.net,MBFCLow.png,,,,QUESTIONABLE SOURCE
https://thefederalist.com/,The Federalist,MBFCMixed.png,USA,MIXED,,RIGHT BIAS
https://www.caribbeanlifenews.com/,Caribbean Life News,MBFCHigh.png,USA 48/180,HIGH,USA,LEFT-CENTER BIAS
https://eastlittlerocktimes.com/,East Little Rock Times,MBFCMixed.png,,,,QUESTIONABLE SOURCE
https://solanosun.com/,Solono Sun,MBFCMixed.png,,,,QUESTIONABLE SOURCE
http://www.postbulletin.com/,Post-Bulletin,MBFCHigh.png,USA 45/180,HIGH,USA,RIGHT-CENTER BIAS
https://www.charitynavigator.org/,Charity Navigator,MBFCVeryhigh.png,USA 45/180,HIGH,USA,LEAST BIASED
https://www.eastbaytimes.com/,East Bay Times,MBFCHigh.png,,HIGH,,LEFT-CENTER BIAS
http://www.realnews24.com,Real News 24,MBFCLow.png,,LOW,,CONSPIRACY-PSEUDOSCIENCE
http://www.satirev.org,Satire V,,,,,SATIRE
https://illicitinfo.com,Illicit Info,MBFCLow.png,,,,QUESTIONABLE SOURCE
https://www.castanet.net/,Castanet,MBFCHigh.png,Canada 16/180,HIGH,Canada,LEAST BIASED
,Pseudoscience Dictionary: Anti-Vaccination (Anti-Vax),,,,,Anti-Vaccination
http://en.protothema.gr/,Proto Thema,MBFCMixed.png,,,,QUESTIONABLE SOURCE
http://usainfront.com,USA in Front,MBFCLow.png,,,,QUESTIONABLE SOURCE
https://www.climatedepot.com/,Climate Depot,MBFCMixed.png,USA 45/180,MIXED,USA,CONSPIRACY-PSEUDOSCIENCE
http://www.theregister.co.uk/,The Register UK,MBFCHigh.png,,HIGH,,LEAST BIASED
https://www.commonwealmagazine.org,Commonweal Magazine,MBFCHigh.png,,HIGH,,LEFT-CENTER BIAS
https://www.pandemic.news/,Pandemic News,MBFCVeryLow.png,USA 45/180,VERY LOW,USA,CONSPIRACY-PSEUDOSCIENCE
http://reflectionofmind.org/,Reflection of Mind,MBFCLow.png,,LOW,,CONSPIRACY-PSEUDOSCIENCE
